p_id,Gender,age,vintage (days),has_passed_logical_ability,has_passed_reading_comprehension,has_passed_general_awareness,has_passed_attention_to_detail,has_passed_pattern_recog,Life Time Earnings in Rs.,qualifiers_rejects,qualifiers_approved,qualifiers_re_attempts,voice_rejects,voice_approved,voice_re_attempts,sd_rejects,sd_approved,sd_re_attempts,ts_rejects,ts_approved,ts_re_attempts,other_data_rejects,other_data_approved,other_data_re_attempts,lives
45878,1,40,183,FALSE,FALSE,FALSE,FALSE,TRUE,10552.15,9,23,33,1,0,3,19,1749,217,16,557,33,50,3029,461,5
45792,1,26,184,TRUE,TRUE,TRUE,TRUE,FALSE,10491.28,15,29,42,0,0,5,22,3446,328,27,494,34,73,4101,496,5
57056,2,18,90,FALSE,FALSE,FALSE,TRUE,FALSE,10102.5,18,29,41,1,0,0,0,0,0,1,1975,163,21,2122,238,5
41897,1,19,241,FALSE,FALSE,TRUE,TRUE,TRUE,9802.45,16,176,76,1,1,4,18,1142,151,23,595,27,82,2957,604,5
47181,2,33,166,FALSE,FALSE,FALSE,FALSE,FALSE,9787.99,16,41,58,0,2,2,9,775,72,8,995,20,53,2629,378,5
55394,1,20,100,TRUE,TRUE,FALSE,TRUE,TRUE,9744.84,7,82,37,3,805,1,0,0,0,2,838,15,20,3022,213,5
49267,1,18,150,TRUE,TRUE,TRUE,TRUE,TRUE,9541.04,8,50,60,1,2,3,2,325,29,2,925,31,31,2351,373,5
40299,1,21,255,TRUE,TRUE,TRUE,TRUE,TRUE,9366.39,18,48,73,1,3,2,7,642,96,2,664,48,30,2620,545,5
48565,1,18,155,FALSE,FALSE,FALSE,FALSE,FALSE,9223.75,27,29,77,1,0,1,5,1203,206,13,869,21,57,2762,540,5
45633,2,19,188,TRUE,TRUE,FALSE,TRUE,TRUE,9100.26,17,41,36,1,0,0,4,1457,69,1,43,5,33,4061,494,5
2287,1,22,815,FALSE,FALSE,TRUE,TRUE,TRUE,8980.44,14,98,71,0,2,0,0,23,3,8,131,3,51,1793,394,5
47838,1,21,160,TRUE,TRUE,TRUE,FALSE,TRUE,8968,6,40,17,0,0,6,2,2815,268,0,4,0,10,3359,489,5
43785,2,18,215,FALSE,FALSE,FALSE,TRUE,FALSE,8861.64,18,35,55,1,0,0,18,1518,157,4,136,6,50,2375,433,5
44150,2,35,212,FALSE,FALSE,FALSE,FALSE,FALSE,8851.75,17,26,75,0,0,0,0,0,0,23,967,33,54,2812,511,5
49631,2,23,147,TRUE,TRUE,TRUE,FALSE,TRUE,8726.93,20,280,123,1,0,3,4,243,63,2,832,12,38,2773,538,5
54029,2,29,108,TRUE,TRUE,FALSE,TRUE,TRUE,8667.06,14,39,52,1,0,0,0,43,7,0,823,19,19,2697,645,5
43226,2,24,222,FALSE,FALSE,TRUE,TRUE,TRUE,8651.29,19,109,75,14,192,0,8,175,36,21,612,10,83,2334,439,5
40673,1,22,249,FALSE,FALSE,FALSE,FALSE,FALSE,8588.18,32,28,89,1,0,1,4,2493,381,0,0,0,41,3244,810,5
49135,2,25,151,TRUE,TRUE,TRUE,TRUE,TRUE,8565.7,12,24,22,1,0,2,0,1720,235,0,0,0,20,2069,326,5
